username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
djAdnan,1,0,0,0,0
longng,3,0,1,0,1
quido_15,1,0,0,0,3
djkickinguk,2,0,10,0,0
johnnyk,8,0,11,8,15
djolivernoir,1,0,5,0,1
Scrawl,8,0,5,10,4
Lloyba,19,0,15,19,195
biggiesnug,13,0,21,0,2
shawnlself,9,0,26,0,2
sternenmaschinebine,25,0,3,0,0
misse,22,0,21,0,55
sortakool,3,0,19,0,0
missy,1,0,20,1,2
Rekop,1,0,0,0,9
mfarrag,1,0,1,1,9
jimsmart,11,0,30,4,37
corvus,7,0,5,11,106
rush,15,0,3,0,2
yohannitazapata,1,0,0,0,1
ms_kimmi,1,0,2,7,37
betoski89,6,0,0,2,1
k3NGuru,2,0,0,1,1
gerbens,1,0,8,0,34
kidbulate,0,0,2,3,5
aieenottdead,6,0,7,1,0
sndr,4,0,12,8,131
scs,1,0,3,2,7
siofetitza,1,0,0,1,1
deejayhaaziq,1,0,4,0,1
katmortusis,0,0,3,1,15
sephira,1,0,0,0,0
grosserperoni,4,0,20,0,1
smutchie,1,0,1,2,1
adine,3,0,4,0,0
celichowster,1,0,9,0,0
sanj,8,0,5,6,17
meetgeraldine,1,0,6,0,0
Word,1,0,8,0,0
blacksmith187,0,0,4,0,0
yoadriian,2,0,0,0,3
marchicps,3,0,9,0,1
robrocksthehouse,0,0,2,0,0
dicko89,0,0,2,0,2
solidnonsense,1,0,2,0,3
colback,4,0,3,0,0
theduke,7,0,19,0,15
jtredwings20,3,0,57,0,0
stillmusik,1,0,0,0,1
binarystatic,7,0,16,5,44
Tekwork,6,0,5,9,14
nomad,1,0,0,8,12
doom,7,0,26,23,24
aaaashy,2,0,8,0,1
camposclaudino,17,0,5,2,0
allegra,9,0,10,1,6
eoinp,3,0,0,0,1
nikolapopovic,6,0,1,7,11
djokabe,6,0,11,7,44
orsi_nemorsi,2,0,0,1,5
hugi,7,0,3,0,0
Fusion,4,0,2,0,1
WarriorChyld,1,0,1,1,0
CptNash,2,0,18,0,0
Soulcrusader,6,0,7,5,1
charceo,11,0,23,0,2
RyanStyles,6,0,1,0,0
nefila,4,0,2,0,0
LauraBaLaura,10,0,8,1,5
nimbletimble,1,0,0,1,3
dolph,4,0,24,1,3
leroysushi,7,0,35,0,0
el_fraile,2,0,1,3,19
a_fitz,6,0,22,2,4
scotj,21,0,12,6,21
benales,13,0,11,0,1
roshi,6,0,1,6,26
kijiki,1,0,0,7,5
CsegeJani,2,0,0,2,1
rpasslow,1,0,0,0,7
mastermixerr,3,0,12,1,0
timparker,42,0,42,8,5
jimbou,2,0,3,0,0
ejy0000,2,0,0,0,0
djmischief,1,0,17,0,0
weedy,0,0,7,0,0
1davidstewart,44,0,89,3,49
ericcarson4,1,0,2,0,0
tracezi,6,0,14,0,1
mandarina,14,0,6,15,6
DUBRADIO,0,0,7,0,1
cancaligirl,1,0,0,0,2
gf3,4,0,3,2,1
zale,4,0,5,0,0
teknology,2,0,0,0,0
dubno,5,0,15,5,21
leopatino,3,0,3,1,1
timo12,2,0,3,2,11
afterdinnerbasemint,1,0,4,0,10
slanki,28,0,8,13,34
saint,12,0,30,2,13
JFET,1,0,0,0,0
babich,6,0,14,0,1
smitherz,1,0,13,0,19
thecadeau,6,0,0,0,1
bexred,2,0,0,1,0
ishtar,11,0,15,9,16
Spanky909,10,0,21,0,20
nikolaj,5,0,40,0,0
tboselecta,5,0,18,1,1
allevolve,3,0,21,5,4
