username;ref_as_follower;ref_as_following;ref_as_faved
rocksteadyuk;0;3;0
DjHands;9;6;3
Robosonic;0;29;5
gigamix;0;23;3
pixelover;42;32;2
undagroundsouth;8;4;0
tomtomfromneukoelln;28;25;2
wtchouseradio;1;38;11
patnb37;11;1;0
deekeed;4;4;1
akwaabamusic;1;86;23
eliotgroove;4;0;0
djrome;20;47;5
phlow;6;31;12
virginhelena;1;16;0
emmakid;0;5;3
ZombieDiscoSquad;0;423;25
gnz;58;31;2
camelglasses;53;30;0
ben81;3;2;0
djriffraff;14;22;3
untitledmusic;122;94;4
tykarma;204;49;0
damirp;36;41;3
RudyK;0;2;0
DV8;54;93;14
renatom2;11;20;2
mixcloud;15;157;33
Ladyprowl;17;11;0
thesilentradioshow;4;18;5
outpostmedia;0;32;2
djfreshone;4;10;3
juksbowl;34;39;4
struboskop;29;56;8
DJDimsa;27;165;103
therapydubstep;1;1;0
vonpander;22;18;8
PublicHouse;52;88;6
GlobalAccessDJs;221;24;1
djsofaking;1;1;0
cbtr;0;8;0
inium666;0;0;0
zenray;1;24;2
Silpher;2;0;0
kokojoe;3;3;1
DJGully;0;1;1
musicgrabbedmyballs;749;168;1
arcticcircle;3;70;12
deathelectro;1;19;1
saturdaynightsessions;32;231;72
tropical;3;6;0
Tony360;219;56;2
ESTRANGE;50;64;6
dima_ne;27;36;4
djkmart;56;62;21
nonXero;37;38;2
soham_sounds;9;25;11
ChrisRundell;3;1;0
MILENA;11;33;1
aichkue;2;6;0
putmeonit;0;21;5
ChristianAllende;10;9;0
rideon;13;23;4
naptuk;197;236;32
michelleowen;5;8;0
pauln;2;10;0
bosbestradio;2;6;1
italianpod101;0;3;1
deejayseriph;6;5;3
MaterWolf;6;14;1
rivastarr;11;589;38
jackedupbeats;3;9;3
katelawler;0;17;2
refix;32;37;3
ShaneSOS;14;38;8
moderadio;4;3;1
oscarbarlow;16;24;0
fuss;32;14;3
djuter;0;2;0
marcflaque;13;9;0
VitalSound;0;22;14
DjChOw;11;26;1
bronimlo;0;5;0
lordjackson;8;3;0
stoppauseplay;0;2;1
weirdwithbeard;13;11;4
deff;1;1;0
djdubd;1;6;2
peepfunk;26;112;41
woofer;0;0;0
Deejbrat;8;3;0
AlexNV;4338;483;9
djdave;6;4;3
klausk;4;0;0
benales;13;11;0
bruiserbox;692;143;2
Salvo_VL;6;2;0
lemonchill;11;11;0
djgustavokwak;40;13;4
fftt;87;98;20
wearemonsters;0;5;2
schmee;41;22;0
kissmytrash;174;34;0
silvahfonk;17;5;0
djxray;2;2;2
dancullen;37;50;2
pham;20;39;4
clubpopozuda;27;47;2
deadly;3;117;47
funkism;0;32;0
PabloFreak;0;2;1
martelo;4;235;71
djsqid;11;4;0
riccicomoto;245;149;10
Flash_Bang;4;7;0
pomike;28;7;0
djsisco;4;11;0
insein;1;14;3
circusmaximus;5;12;2
blakeandrew;1;2;0
bencrew;269;148;9
phonanza;0;24;19
salva;16;8;0
krywolf;1;6;1
solesides;6;53;11
backtochill;0;5;1
drunkelephantsound;6;7;0
fakedtunes;3;2;1
rebekah;9;86;3
DOTJPG;1;1;2
Ferdigunay;1;8;0
negom;5;7;0
adambozzetto;1;3;0
syte;56;87;11
rastafarijanac;18;14;0
dswe;5;23;2
jose;2;1;0
ersoynaz;1;8;0
onefortheditch;40;35;2
shelest;10;6;0
paulh4ck;2;4;3
arturiosK;1;2;0
DaleFTW;41;37;0
JoelRaver;0;1;0
djflipinthemix;3;11;0
codecshift;1;11;1
fullvocal;4;10;0
monkeysupersound;2;1;0
Flashmen;0;3;0
lostidol;0;15;6
bigchillers;48;80;11
ADominantSpecies;238;59;0
kleingeorge;3;1;0
sensxperiment;3;1;0
caramel;3;2;0
djRicardoBEL;1;1;0
tnl;3;0;0
plaatvervangers;3;6;4
discobloodbath;2;35;7
1point5;9;2;0
DannYL;1;2;1
rastitkac;6;23;2
motorv8a;0;12;0
MuchoSugoi;2;12;0
OctavPaul;10;3;0
coolsurf;3;2;0
einton_zweiton;36;61;4
fazgroove_records;34;29;5
trash_nottrash;21;46;6
djdeiu;2;1;0
GarethBoscoMcAlinden;0;1;0
negghead;12;12;0
djdrik;5;8;0
OG;4;10;2
cbtz;65;20;1
Aleksandr;1;4;1
mronextra;2;3;1
illusion;10;6;1
utemzavar;0;9;1
fquest;2;2;1
Halogen;20;65;20
khurtizz;1;7;3
samredmore;0;4;0
huakai;22;16;0
miraclelibido;16;38;7
axelk;52;41;1
audiofamilies;37;103;4
edelbeatz;0;8;0
PixxxelPorns;6;23;0
joroboro;2;9;0
djjdub;1;7;3
hotviruz;9;32;8
marcellus;12;35;0
SlimBlue;0;17;4
soundwitch;17;5;0
djbigs;3;2;0
christianmalloni;2;8;0
rekonekt;24;26;3
bgyssshow;0;2;0
FelipeDoub2eF;2;1;0
tanith;0;17;5
outerbeat;5;3;0
DJChrisTarn;3;5;0
misplacedmarbles;1;2;1
djphunktion;16;22;4
toshoutforever;3;0;0
lelesuher;1;0;0
SymphonicDistribution;0;2;2
evanscott;2;6;1
badman;41;26;0
tharindu;9;7;2
dinokazamia;2;2;0
noiseman;21;17;1
thebizczarsinista;4;15;0
ddc;1;2;1
PokerPR;2;15;0
jackswift;306;61;1
deuceshow;0;16;0
addtocart;3;10;2
Lucien_Reden;12;7;0
jason_s;0;11;9
andresnash;3;2;0
sireus1;22;60;17
rikoroos;26;22;6
Summer5;15;4;1
autopistalivetrip;38;30;6
DjsExclusive;67;14;0
djinsivar;7;8;4
birago;1;3;0
oliver;1168;354;50
seleniumtester;0;1;0
lowfreak;3;2;0
artrocker;0;5;0
iseleven;0;4;1
mavee;15;16;0
montero;9;31;4
brobots;27;13;3
aldare;8;10;3
dubszekhaz;45;29;1
skorelateuf;51;72;14
Rob;1;23;0
headstand;5;10;0
djphillykev;9;12;2
